,Violent_sum,Property_sum,Officers,Population
San Mateo County,1634,14893,758.0,703804.92364
Contra Costa County,3895,28939,891.0,785273.47652
Los Angeles County,56351,252224,14330.0,7468322.05716
San Joaquin County,6005,22629,623.0,536763.47289
San Bernardino County,10469,54937,1108.0,1033823.96294
Yolo County,639,5368,190.0,180893.49124
Orange County,7275,66054,2162.0,2142546.57118
Sonoma County,1868,7794,289.0,279316.45887
Stanislaus County,3366,17918,338.0,333199.43699
Butte County,790,7307,105.0,117878.25059
Riverside County,7447,65333,948.0,985447.03239
Sutter County,360,2691,52.0,67532.46753
San Luis Obispo County,1115,6687,114.0,109892.37673
Imperial County,676,5195,107.0,110474.53096
Solano County,2022,11719,377.0,392267.76483
San Diego County,10959,61356,2778.0,2360283.21444
Santa Clara County,5423,42797,1670.0,1688859.91606
Santa Barbara County,1527,9779,296.0,242983.97294
Alameda County,10127,59744,1766.0,1410813.78797
Ventura County,2192,16415,504.0,476887.51805
Monterey County,1822,10396,171.0,194429.46988
Napa County,598,2524,69.0,81176.47059
Santa Cruz County,1101,9485,161.0,119003.219
Sacramento County,7734,39105,1040.0,908598.90496
Shasta County,1333,5561,98.0,91588.78505
San Benito County,155,543,27.0,38028.16901
Fresno County,5981,31784,1051.0,821758.34591
Tulare County,1608,11563,207.0,194225.85594
Merced County,1488,7658,153.0,150280.49822
Kern County,5128,32570,472.0,460363.26474
Humboldt County,682,4001,47.0,27011.49425
Kings County,639,3167,144.0,138226.58059
Placer County,622,7080,200.0,242395.52383
San Francisco County,6269,48437,2376.0,937493.57987
Marin County,475,4975,162.0,150977.85511
Madera County,1024,3705,60.0,64516.12903
