"",,,,,,,,,Larceny,,,,,
"",,,,,,Non-,,Larceny,,,Motor,,FBI,California
"",Homicide,Rape,Robbery,Aggravated,Residential,residential,Total,over,$400,Total,vehicle,Arson,Crime,Crime
"",,,,assault,burglary,,burglary,,and,larceny,,,,
"",,,,,,burglary,,$400,,,theft,,Index,Index
"",,,,,,,,,under,,,,,
Carlsbad,0,37,49,123,229,140,369,617,"1,035","1,652",167,7,"2,397",745
Chula Vista,1,58,208,429,426,268,694,"1,082","1,593","2,675",885,39,"4,950","2,275"
Coronado,0,5,3,18,19,17,36,151,161,312,32,5,406,94
El Cajon,1,46,146,202,221,208,429,615,969,"1,584",433,28,"2,841","1,257"
Escondido,4,48,150,353,224,191,415,780,"1,433","2,213",658,12,"3,841","1,628"
La Mesa,0,21,56,120,216,120,336,455,653,"1,108",225,11,"1,866",758
National City,3,13,108,143,73,109,182,254,480,734,460,5,"1,643",909
Oceanside,8,56,172,403,359,248,607,"1,114","2,162","3,276",481,14,"5,003","1,727"
San Diego,50,572,"1,387","3,323","3,266","1,477","4,743","8,380","9,662","18,042","5,839",239,"33,956","15,914"
Sheriff - Total,34,211,473,"1,792","1,372","1,066","2,438","2,821","4,096","6,917","1,701",54,"13,566","6,649"
Del Mar,0,4,1,6,36,21,57,63,35,98,12,0,178,80
Encinitas,0,9,14,82,113,91,204,342,415,757,76,4,"1,142",385
Imperial Beach,1,7,17,46,59,28,87,60,112,172,113,2,443,271
Lemon Grove,0,6,56,77,52,54,106,73,238,311,92,4,648,337
Poway,0,8,14,43,50,43,93,142,187,329,33,2,520,191
San Marcos,0,13,42,142,94,117,211,300,483,783,151,3,"1,342",559
Santee,2,7,21,82,71,66,137,222,459,681,97,3,"1,027",346
Solana Beach,0,1,3,12,33,28,61,68,73,141,22,0,240,99
Vista,2,41,99,230,173,178,351,380,609,989,275,8,"1,987",998
Unincorporated,29,115,206,"1,072",691,440,"1,131","1,171","1,485","2,656",830,28,"6,039","3,383"
4S Ranch,0,1,3,7,16,8,24,38,55,93,5,0,133,40
Alpine,3,6,10,35,37,33,70,85,93,178,41,0,343,165
Fallbrook,3,19,17,92,72,65,137,129,161,290,84,0,642,352
Lakeside,2,19,18,120,83,69,152,150,178,328,98,0,737,409
Ramona,0,9,8,31,16,27,43,46,86,132,17,0,240,108
Spring Valley,3,15,70,195,114,68,182,157,291,448,223,0,"1,136",688
Valley Center,2,6,19,81,52,24,76,82,59,141,56,0,381,240
Other Sheriff,0,8,4,149,0,26,26,46,44,90,9,0,286,196
California Highway Patrol,0,0,0,11,0,1,1,5,12,17,104,0,133,116
California State University San Marcos,0,2,1,1,2,3,5,15,29,44,0,0,53,9
San Diego State University,0,8,9,2,24,41,65,162,353,515,13,3,612,97
UC San Diego,0,4,4,5,4,22,26,158,220,378,14,5,431,53
San Diego Harbor Police,0,7,10,62,0,34,34,246,232,478,11,0,602,124
California State Parks,0,0,1,7,0,2,2,6,4,10,0,0,20,10
Total,101,"1,088","2,777","6,994","6,435","3,947","1 0,382","16,861","23,094","39,955","11,023",422,"72,320","32,365"
